Temperature_C,Humidity_%,Predicted_Lifespan_Months,Predicted_Lifespan_Days,Farmer_Action
31,39,0,18,0
30,39,0,26,0
33,77,0,26,0
10,71,0,17,0
34,51,0,23,0
31,35,0,16,0
44,72,0,16,0
34,73,0,20,0
11,71,0,28,0
33,28,0,18,0
24,71,0,28,0
31,59,0,23,0
31,44,0,27,0
33,58,0,19,0
32,48,0,20,0
33,36,0,27,0
32,70,0,20,0
31,31,0,16,0
34,72,0,23,0
33,42,0,28,0
49,70,0,22,0
16,70,0,22,0
20,73,0,20,0
36,73,0,27,0
32,70,0,15,0
42,71,0,23,0
33,78,0,16,0
32,37,0,16,0
33,24,0,27,0
45,71,0,22,0
13,71,0,18,0
23,74,0,29,0
24,73,0,25,0
31,31,0,27,0
31,48,0,22,0
32,73,0,16,0
21,70,0,23,0
32,34,0,25,0
13,71,0,24,0
32,73,0,25,0
46,73,0,29,0
30,74,0,27,0
30,24,0,26,0
31,56,0,26,0
30,24,0,26,0
33,31,0,20,0
14,71,0,22,0
48,74,0,17,0
23,72,1,29,0
22,70,0,28,0
38,74,0,23,0
33,84,0,21,0
32,36,0,20,0
34,53,0,18,0
31,29,0,29,0
34,83,0,21,0
43,74,0,23,0
30,71,0,28,0
30,58,0,25,0
34,42,0,19,0
33,23,0,18,0
19,72,0,26,0
34,40,0,16,0
13,71,0,22,0
31,42,0,27,0
32,59,0,27,0
35,38,0,27,0
35,70,0,21,0
11,72,0,28,0
42,71,0,23,0
32,48,0,15,0
34,34,0,19,0
32,33,0,15,0
42,71,0,21,0
20,72,0,15,0
13,73,0,28,0
13,71,0,26,0
33,54,0,15,0
34,39,0,24,0
22,70,0,21,0
34,43,0,21,0
34,45,0,18,0
15,71,0,16,0
33,59,0,23,0
32,83,0,28,0
33,80,0,24,0
31,46,0,29,0
43,72,0,18,0
33,81,0,20,0
30,48,0,21,0
33,27,0,21,0
31,70,0,26,0
12,73,0,21,0
33,39,0,26,0
10,71,0,17,0
39,71,0,15,0
34,54,0,22,0
17,71,0,19,0
33,84,0,29,0
32,23,0,29,0
38,72,0,19,0
15,71,0,22,0
32,77,0,23,0
31,74,0,17,0
32,21,0,29,0
11,72,0,20,0
25,71,0,24,0
37,71,0,24,0
30,26,0,20,0
43,71,0,23,0
34,21,0,23,0
15,72,0,22,0
34,27,0,26,0
32,42,0,23,0
31,57,0,20,0
49,71,0,20,0
38,74,0,20,0
31,55,0,22,0
34,31,0,27,0
20,72,0,16,0
35,74,0,28,0
22,74,0,25,0
10,71,0,25,0
34,33,0,18,0
34,79,0,18,0
32,20,0,26,0
31,70,0,24,0
33,53,0,18,0
30,39,0,19,0
32,70,0,21,0
32,74,0,15,0
32,71,0,23,0
32,23,0,29,0
11,71,0,28,0
35,33,0,26,0
34,57,0,25,0
34,70,0,27,0
31,28,0,28,0
31,71,0,15,0
17,72,0,21,0
31,51,0,20,0
32,30,0,18,0
32,48,0,21,0
37,73,0,22,0
32,57,0,27,0
30,44,0,22,0
34,27,0,28,0
45,70,0,23,0
34,54,0,22,0
35,32,0,22,0
41,74,0,23,0
31,53,0,25,0
31,71,0,15,0
40,71,0,23,0
31,48,0,26,0
46,73,0,19,0
30,54,0,18,0
31,78,0,24,0
34,25,0,25,0
31,26,0,27,0
23,70,0,29,0
32,45,0,22,0
30,74,0,17,0
32,21,0,26,0
34,35,0,29,0
41,72,0,20,0
34,20,0,23,0
34,56,0,15,0
